MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366991260,2022-03-31T00:00:07,29.44777,-91.30829,0.1,47.5,511,CAPT JOHN E GRAHAM,IMO8988428,WDC2329,90,3,41,10,,33,A
367571770,2022-03-31T00:00:07,27.8241,-97.43521,0,345.8,20,COLT CLARY,,WDG7880,31,12,23,,,57,A
367498970,2022-03-31T00:00:05,47.55409,-122.1942,0,142.6,511,BLUE LEADER,IMO0000000,WDF8824,37,,15,5,,,B
316011408,2022-03-31T00:00:04,49.00952,-123.23749,18.9,105.9,106,COASTAL INSPIRATION,IMO9332767,CFN4970,60,0,160,28,5.8,60,A
368072040,2022-03-31T00:00:04,29.49649,-94.86826,7.1,145.7,147,M/ V COTTLE,,WDK6182,57,12,119,34,3.1,57,A
367014390,2022-03-31T00:00:03,29.63875,-89.9269,0.1,310.2,302,OSCAR WALTERS,,WDC3799,31,0,18,7,,31,A
338391954,2022-03-31T00:00:09,31.97778,-81.05545,0,0,511,TEMPEST,IMO0000000,,36,,7,2,,,B
368926303,2022-03-31T00:00:09,30.7887,-81.49683,0,265.7,135,USNS WESTWIND,IMO9472359,NWES,99,0,76,17,4.3,99,A
367379190,2022-03-31T00:00:08,30.37054,-88.56409,0,245.5,511,EAGLE,IMO8207721,WTD4583,31,0,28,11,3.3,52,A
367530590,2022-03-31T00:00:02,27.87201,-97.15886,0,240.3,304,CAPT PAUL E LORD,,WDG3876,31,12,20,,,52,A
316020878,2022-03-31T00:00:04,48.43225,-123.37207,0,84.3,163,ROSE MACKENZIE,IMO7233254,CFG7415,31,0,22,7,3.7,31,A
367688280,2022-03-31T00:00:05,29.75823,-95.0979,0,280.2,110,LOUISE CENAC,,WDI3433,31,12,21,,,57,A
367171050,2022-03-31T00:00:05,30.5139,-91.22441,0,262.8,511,GEORGE E MARBLE,,WDD6300,31,0,15,6,,52,A
210080000,2022-03-31T00:00:09,30.28172,-91.21723,7.5,297,303,VIRGEN DEL CISNE,IMO9428372,5BQP5,89,0,183,32,8,89,A
338339802,2022-03-31T00:00:19,48.10777,-122.77319,0,320.9,511,SOL DUC,IMO0000000,,30,,4,4,,,B
367312950,2022-03-31T00:00:19,29.55521,-90.5274,0,360,511,NICHOLAS D,,WDD9546,31,15,16,7,,31,A
367400840,2022-03-31T00:00:00,29.77961,-92.18367,102.3,360,293,DRY TORTUGAS,IMO9585089,WDE8043,90,0,49,12,3.7,79,A
303868000,2022-03-31T00:00:01,21.3074,-157.8729,0.1,0,304,CGC MIDGETT,,NMID,55,5,140,18,6.8,55,A
367418130,2022-03-31T00:00:01,24.56261,-81.79949,0,0.9,340,REEL OBSESSION,IMO0000000,WDE9513,37,,21,6,,,B
368222160,2022-03-31T00:00:02,36.99627,-89.1568,0,239.3,128,SALLY LAPEYRE,IMO1313275,WDM6099,57,2,227,22,2.9,57,A
368129630,2022-03-31T00:00:02,30.04621,-90.4745,0,360,511,BURRWOOD WISE,,WDL4248,52,0,20,8,3,52,A
368077270,2022-03-31T00:00:05,18.55858,-65.81738,9.5,283.9,511,JEANNE,IMO0000000,WDK6709,36,,12,6,,,B
367549260,2022-03-31T00:00:03,29.9267,-89.96876,0,279.3,291,ROGER F WICKER,,WDG5692,31,0,24,,,57,A
368110390,2022-03-31T00:00:04,29.78563,-95.06627,0.1,61.5,511,PEARL RIVER,,WDL2253,52,12,204,16,2.6,57,A
319106300,2022-03-31T00:00:07,25.78444,-80.17884,0,136,136,LEUDIN I,IMO9710127,ZGFM6,37,0,40,8,2.5,37,A
